A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
AMARILIA TRAVEL|||||13, Ag. Nikolaou Street, 166 71 Vouliagmeni – Athens Tel (210) 8990391-5, 8955700, Fax (210) 8955790 Owner/Manager: And. Paissios Member of: HATTA 
AMATHUS HELLAS|||||54, Kyprou Av. & 45, Helektroupoleos Street, 164 52 Argyroupoli Tel (210) 9959111, Fax (210) 9917222 Owner/Manager: Emm. Daskalakis Member of: IATA (code 27-2 1032) 
AMERICAN EXPRESS INTERNATIONAL S.A.|||||318, Messoghion Avenue, 153 41 Ag. Paraskevi Tel (210) 6590700, Fax (210) 3227893 Owner: American Express International S.A. Country Manager: D. Vernezos Member of: IATA (code 27-2 6104), HATTA, GDS: Sabre 
AMERICAN TOURS SERVICE HELLAS-ITALIA|||||37, Patision Street, 104 32 Athens Tel (210) 5231343, 5221057, 5222657, Fax (210) 5222414 Owner/Manager: Ms Anzouleta Del-Borello Member of: HATTA GDS: Galileo 
AMPHITRION AIR SERVICES|||||Member of Amphitrion Group of Companies 7, Sygrou Avenue, 1st Floor, 117 43 Athens Tel 2109213402-3, Fax 210 9213385 Chairman & CEO: K. Mitsiou Georgian Airways Res. K. Startsios, Tel 210 9213400-1 
AMPHITRION HOLIDAYS S.A.|||||Member of Amphitrion Group of Companies Amphitrion House: 46, Kyprou & Ploutonos, 172 36 Dafni , Greece Tel: 21110-90000, 2109006000, Fax:2109249671,9249835/6 Reg. Co.: Amphitrion Holidays S.A., VAT 099876938 (FAE ATHENS) Chairman & CEO: K. Mitsiou Inbound Sales & Operations Manager: E. Panteliou Transportation Manager: D. Tsiounis Accounts & Administrator Manager: M. Tsagarakis Web Department Manager: A. Papakonstantinou Yachting Manager: K. Pantelios Member of : IATA (code: 27-2 0230 2), UFTAA, ASTA, HATTA, SETE, NTA, PATA, POET, GYBCA , HAPCO, AC&C and is ISO 900 1: 2000 certified Incoming, Airline & Ferry tickets, Accommodation in Greece and abroad, Cruises, Car rental, Business travel, Marine travel, Yachting, Transportation services (38 privately owned coaches), VIP service, transfers. Other offices in Greece: ATHENS 5, Sygrou Ave., 11743 Athens, Tel: 210 9226969 ATHENS AIRPORT Tel: 210 3530162, Fax: 210 3532316 MYKONOS Airport Area, 846 00 Mykonos Tel: (22890) 28707, Fax: (22890) 79352 SANTORINI: Shopping Center :1st Floor, Karterados, Fira 84700 Santorini Tel: (22860) 23908, Fax: (22860) 28728 CRETE – HERAKLION: 2, Lordou Vironos Street, 712 02 Heraklion, Tel. : (+30) 2810 244824, Fax : (+30) 2810 240030 Skiathos Holidays Sporades: Parodos Korai Street, 370 02 Skiathos Tel: (24270) 21722 Other offices abroad: AMPHITRION TOKYO – JAPAN Tel: (00813) 38328411  Fax: (00813) 38328335 AMPHITRION OSAKA – JAPAN Tel +81 66 2827135, Fax +81 66 2827145 AMPHITRION HOLIDAYS BEIJING – CHINA Tel: (0086) 10 65511558, Fax : (0086) 10 65539098 AMPHITRION HOLIDAYS SHANGHAI – CHINA Tel : 0086 21  54660993, Fax: 0086 21  54661026 AMPHITRION HOLIDAYS USA – WASHINGTON DC Tel:(001 202) 8729878, (001 800) 4242471, Fax:(001 202) 8728210, G.S.A. for: Carnival Cruises I.S.A. for: Pirncess Cruises, Cunard
ANAGNOSTAKIS TOURS|||||44, Grammou Street, 164 51 Argyroupolis Tel (210) 9931200, Fax (210) 9932462 Manager: Christos Anagnostakis Member of: HATTA E-mail:info@anagntours.gr, Web site:  www.anagntours.gr 
ANALVA TRAVEL|||||6, Dragatsaniou Street, 105 59 Athens, Tel (210) 3233282, 3236325, Fax (210) 3231035 Owner/Manager: T. Romanas Member of: IATA (code 27-2 6367)
ANDRIUS TOURS|||||102, Papadiamantopoulou Street, 157 73 Zografou-Athens Tel (210) 7706889, 7753911, Fax (210) 7753911 Owner: Papanagiotakis Bros, Manager: N. Papanagiotakis Member of: HATTA 
ANDY’S TOURS S.A.|||||89, Kallirois St., 117 45 Athens, Neos Kosmos Tel (210) 9229511-4, Fax (210) 9236012 Owner: Andy Vassiliades, Manager: Steve Vassiliades Member of: IATA (code 27-2 1005), ASTA, COTAL, GITO, HATTA 
ANTELOPE TRAVEL|||||34, Promitheos Street, 175 64 P. Phaliro Tel (210) 9420587, 9420984, Fax (210) 9420552 Owner/Manager: Kon/nos Georgiadis Member of: IATA (code 27-0 0804) 
ANTZY TRAVEL|||||14, Platonos Street, 152 34 Halandri Tel (210) 6840407, Fax (210) 6842071 Manager: Pothiti Pastalatzi   Member of: HATTA 
ANTIKO TRAVEL|||||41, Chiou Street, 153 43 Ag. Paraskevi, Athens Tel (210) 6019659,  Fax (210) 6084173 Owner: Mrs K. Koutsompina,   Manager: Anast. Koutsompinas Member of: HATTA
AOSTA TRAVEL Ltd|||||60, Chalkokondyli Street, 104 32 Athens Tel (210) 5235182-83, Fax (210) 5239389 Owner: Sotiris Maidanopoulos, Manager: Miss Anth. Maidanopoulos Member of: IATA (code 27-2 1152), GDS: Amadeus 
APOLLO 11 TRAVEL|||||2, Ag. Konstantinou Street, 104 31 Athens Tel (210) 5244600, 5244596, 5244600, Fax (210) 5244088 Owner: J. Ch. Stremmenos, Manager: Ms Anast. Grizi, Reservations: Ms Maria Grizi Branch office in: U.S.A. Member of: HATTA
APT VISTA TRAVEL SERVICES Ltd.|||||41, Messogion Avenue, 115 26  Athens Tel (210) 6753606, Fax (210) 6729630, Mobile 6932588851 Owner: Panos Fragakis Member of: HATTA, HAPCO
ARAGIANNIS TRAVEL|||||2, Petmeza Street, 117 42 Athens Tel (210) 9249660-1, Fax (210) 9232522 Owner/Manager: George Aragiannis 
ARGENDAKIS TRAVEL TOURISM|||||4, Dimitrakopoulou Street, 117 42 Athens Tel (210) 9247922, Tel/Fax (210) 9210649 Owner: Ms M. Argendakis, GDS: Galileo 
ARGONAUT TRAVEL & TOURISTIC LTD- A.T.T|||||48, Amalias Ave., 105 58 Athens, opposite Olympian Zeus Columns Tel (210) 3232256, 3230337, 3237363, 3235482, Fax (210) 3244054, 3237364 Owner: Argonaut Travel & Touristic Ltd, Vat Reg No: 095702148, DOY: D’ ATHINON Managing Director: Marios Tsiligiris, Incoming Tourism Supervisor: Maria Nikolaidis Accounting Dept.: Neoklis Zafirakopoulos Member of: HATTA, GITO, GDS: Amadeus 
ARGO TRAVEL & TOURISM A.T.T.|||||10, Xenofondos Street, 105 57 Athens Tel 211 180 3000, Fax 211 180 3180 Owner/Manager: Dimitrios Pythis Branch offices in: Piraeus, Thessaloniki, Geneva, Glasgow, London Member of: IATA (code 27-2 1840), ASTA, HATTA, UFTAA/FUAAV GDS: Galileo, Amadeus, Sabre 
ARISTOTLE TRAVEL Ltd|||||6, Lazaraki Atreet, 166 75 Glyfada Tel (210) 8941417, Fax (210) 8943704, 9680560 Manager & Travel consultant: Christian J. Nicolaides Member of: ASTA, HATTA, RCMA, WRTA E-mail: aristotle@hol.gr 
ARTY TOURS|||||19, Syngrou Avenue, 117 43 Athens Tel (210) 9235149, 9219791, 9213337, Fax (210) 9213332 Owners/Managers: Petros Fotiadis, Giorgos Klemente Reservations Supervisor: Ms Monika Sandalis Member of: HATTA 
ATHENAEUM TRAVEL|||||87, Dinokratous Street, 115 21 Athens Tel (210) 7250491-2, Fax (210) 7226269 Owner: Ek. Katsargiri Ltd. Member: of: HATTA GDS: Sabre 
ATHENS COSMOPOLITAN TRAVEL SERVICE|||||10, Stadiou Street, 105 64 Athens Tel (210) 3252374-6, 3230500-2, Fax (210) 3239593, 3235294 Owner/Manager: N. Perdikakis Branch offices in: Canada, USA Member of: IATA (code 27-2 4181), GDS: Worldspan 
ATHENS EXPRESS S.A.|||||18, Ermou Street, 105 63 Athens Tel (210) 3316851, Fax (210) 3316854-5 Owner: Athens Express S.A., Vat Reg No: 094187969, DOY: FAEE ATHINON Manager: George Kataras Additional Managers: Gloria Garcia, Tel: 210-3316851 ext 28 E-mail: gloria.garcia@athens-express.gr Virginia Bruno, Tel: 210-3316851 ext 15 E-mail: virginia.bruno@athens-express.gr Member of: ASTA, HATTA E-mail: info@athens-express.gr Web Site: www.athens-express.gr 
ATHENS SILK ROAD INTERNATIONAL TRAVEL (GREECE)|||||36, Mitropoleos Street, 105 63 Athens Tel 210-3310036, 3310037, Fax 210-3310069 E-mail: silkroaa@otenet.gr,  chinatours@chiatours.gr Web sites: www.chinatours.gr, www.2008hotels.com.cn 
ATHENS TRAVEL SERVICES|||||22, Alopekis Street, 106 75 Athens, Tel (210) 7257662-3, Fax (210) 7292991 Owners/Managers: Ms Chrissoula Vakali, Ms Gogo Andriopoulou Member of: IATA (code 27-2 9225), HATTA, PETAGA 
ATHLOS TRAVEL|||||79-81, Sokratous Street, 104 32 Athens, Tel (210) 5239945,  Fax: 210-5239042 Member of: IATA (code 27-2 1226) 
ATHOS CITY|||||6, Zalokosta St., 106 71 Athens, Tel (210) 3628581, Fax (210) 36280708 Member of: IATA (code 27-2 1155) 
A.T.I. TRAVEL Ltd|||||26A, Nikis Street, 105 63 Athens Tel (210) 3242049, 3242085, 3246464, Fax (210) 3245947 Owner/ Manager: Vincenzo Angelilli Vat Reg No: 027640537, DOY: D’ ATHINON Member of: IATA (code 27-0 0102), GDS: Worldspan 
ATLANTIS TRAVEL AND TOURISM AGENCY|||||5, Patission Street & 9, Omonias Sq., 104 31 Athens Tel (210) 5202700, Fax (210) 5201037 Manager: Solon Benardout Member of: IATA (code 27-2 1842), PAT 
ATLAS TRAVEL|||||12, Omonia Square, 104 31 Athens Tel (210) 3212620, 3219438, 3241338, Fax (210) 3215895 Owner/Manager: J. Kontopoulos Member of: HATTA 
AUSTRALIAN TRAVEL|||||41, D. Soutsou Street, 115 21 Athens, Tel (210) 6444264, 6431971-2, Fax (210) 6462073 Owner/Manager: J. Kereres Member of: HATTA, IATA (code 27-2 1095), GDS: Galileo 
AVIATIC TRAVEL|||||32, Ippokratous Street, 106 80 Athens Tel (210) 3622084, 3617293, Fax (210) 3616410 Owner/Manager: Ms Marianthi Adamidou 
AV TOURS – A. VLACHOS|||||39, Voulis Street, 105 57 Athens Tel (210) 3255352, 3236980, Fax (210) 3235784 VAT 095241991, D’ ATHENS Owner/Manager: Apostolos Vlachos, Member of: HATTA 
AXOS TOURS|||||2, Kipselis Sq., 113 61 Athens, Tel (210) 8627291, 8611454, 8611223, Fax (210) 8623201 Owner/Manager: A. Kamaritis Member of: IATA (code 27-2 1225) GDS: Galileo 
AZUR VOYAGES Ltd.|||||69-71, Souidias Street, 115 21 Athens Tel (210) 7238048, 7238051, Fax (210) 7234647 Manager: Mrs Jos. Kazani 
