A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
AMARILIA TRAVEL|||||13, Ag. Nikolaou Street, 166 71 Vouliagmeni – Athens Tel (210) 8990391-5, 8955700, Fax (210) 8955790 Owner/Manager: And. Paissios Member of: HATTA 
AMATHUS HELLAS|||||54, Kyprou Av. & 45, Helektroupoleos Street, 164 52 Argyroupoli Tel (210) 9959111, Fax (210) 9917222 Owner/Manager: Emm. Daskalakis Member of: IATA (code 27-2 1032) 
AMERICAN EXPRESS INTERNATIONAL S.A.|||||318, Messoghion Avenue, 153 41 Ag. Paraskevi Tel (210) 6590700, Fax (210) 3227893 Owner: American Express International S.A. Country Manager: D. Vernezos Member of: IATA (code 27-2 6104), HATTA, GDS: Sabre 
AMERICAN TOURS SERVICE HELLAS-ITALIA|||||37, Patision Street, 104 32 Athens Tel (210) 5231343, 5221057, 5222657, Fax (210) 5222414 Owner/Manager: Ms Anzouleta Del-Borello Member of: HATTA GDS: Galileo 
AMPHITRION AIR SERVICES|||||Member of Amphitrion Group of Companies 7, Sygrou Avenue, 1st Floor, 117 43 Athens Tel 2109213402-3, Fax 210 9213385 Chairman & CEO: K. Mitsiou Georgian Airways Res. K. Startsios, Tel 210 9213400-1 
AMPHITRION HOLIDAYS S.A.|||||Member of Amphitrion Group of Companies Amphitrion House: 46, Kyprou & Ploutonos, 172 36 Dafni , Greece Tel: 21110-90000, 2109006000, Fax:2109249671,9249835/6 Reg. Co.: Amphitrion Holidays S.A., VAT 099876938 (FAE ATHENS) Chairman & CEO: K. Mitsiou Inbound Sales & Operations Manager: E. Panteliou Transportation Manager: D. Tsiounis Accounts & Administrator Manager: M. Tsagarakis Web Department Manager: A. Papakonstantinou Yachting Manager: K. Pantelios Member of : IATA (code: 27-2 0230 2), UFTAA, ASTA, HATTA, SETE, NTA, PATA, POET, GYBCA , HAPCO, AC&C and is ISO 900 1: 2000 certified Incoming, Airline & Ferry tickets, Accommodation in Greece and abroad, Cruises, Car rental, Business travel, Marine travel, Yachting, Transportation services (38 privately owned coaches), VIP service, transfers. Other offices in Greece: ATHENS 5, Sygrou Ave., 11743 Athens, Tel: 210 9226969 ATHENS AIRPORT Tel: 210 3530162, Fax: 210 3532316 MYKONOS Airport Area, 846 00 Mykonos Tel: (22890) 28707, Fax: (22890) 79352 SANTORINI: Shopping Center :1st Floor, Karterados, Fira 84700 Santorini Tel: (22860) 23908, Fax: (22860) 28728 CRETE – HERAKLION: 2, Lordou Vironos Street, 712 02 Heraklion, Tel. : (+30) 2810 244824, Fax : (+30) 2810 240030 Skiathos Holidays Sporades: Parodos Korai Street, 370 02 Skiathos Tel: (24270) 21722 Other offices abroad: AMPHITRION TOKYO – JAPAN Tel: (00813) 38328411  Fax: (00813) 38328335 AMPHITRION OSAKA – JAPAN Tel +81 66 2827135, Fax +81 66 2827145 AMPHITRION HOLIDAYS BEIJING – CHINA Tel: (0086) 10 65511558, Fax : (0086) 10 65539098 AMPHITRION HOLIDAYS SHANGHAI – CHINA Tel : 0086 21  54660993, Fax: 0086 21  54661026 AMPHITRION HOLIDAYS USA – WASHINGTON DC Tel:(001 202) 8729878, (001 800) 4242471, Fax:(001 202) 8728210, G.S.A. for: Carnival Cruises I.S.A. for: Pirncess Cruises, Cunard 
ANAGNOSTAKIS TOURS|||||44, Grammou Street, 164 51 Argyroupolis Tel (210) 9931200, Fax (210) 9932462 Manager: Christos Anagnostakis Member of: HATTA E-mail:info@anagntours.gr, Web site:  www.anagntours.gr 
ANALVA TRAVEL|||||6, Dragatsaniou Street, 105 59 Athens, Tel (210) 3233282, 3236325, Fax (210) 3231035 Owner/Manager: T. Romanas Member of: IATA (code 27-2 6367)
ANDRIUS TOURS|||||102, Papadiamantopoulou Street, 157 73 Zografou-Athens Tel (210) 7706889, 7753911, Fax (210) 7753911 Owner: Papanagiotakis Bros, Manager: N. Papanagiotakis Member of: HATTA 
ANDY’S TOURS S.A.|||||89, Kallirois St., 117 45 Athens, Neos Kosmos Tel (210) 9229511-4, Fax (210) 9236012 Owner: Andy Vassiliades, Manager: Steve Vassiliades Member of: IATA (code 27-2 1005), ASTA, COTAL, GITO, HATTA
ANTELOPE TRAVEL|||||34, Promitheos Street, 175 64 P. Phaliro Tel (210) 9420587, 9420984, Fax (210) 9420552 Owner/Manager: Kon/nos Georgiadis Member of: IATA (code 27-0 0804) 
ANTZY TRAVEL|||||14, Platonos Street, 152 34 Halandri Tel (210) 6840407, Fax (210) 6842071 Manager: Pothiti Pastalatzi   Member of: HATTA 
ANTIKO TRAVEL|||||41, Chiou Street, 153 43 Ag. Paraskevi, Athens Tel (210) 6019659,  Fax (210) 6084173 Owner: Mrs K. Koutsompina,   Manager: Anast. Koutsompinas Member of: HATTA
AOSTA TRAVEL Ltd|||||60, Chalkokondyli Street, 104 32 Athens Tel (210) 5235182-83, Fax (210) 5239389 Owner: Sotiris Maidanopoulos, Manager: Miss Anth. Maidanopoulos Member of: IATA (code 27-2 1152), GDS: Amadeus 
APOLLO 11 TRAVEL|||||2, Ag. Konstantinou Street, 104 31 Athens Tel (210) 5244600, 5244596, 5244600, Fax (210) 5244088 Owner: J. Ch. Stremmenos, Manager: Ms Anast. Grizi, Reservations: Ms Maria Grizi Branch office in: U.S.A. Member of: HATTA
APT VISTA TRAVEL SERVICES Ltd.|||||41, Messogion Avenue, 115 26  Athens Tel (210) 6753606, Fax (210) 6729630, Mobile 6932588851 Owner: Panos Fragakis Member of: HATTA, HAPCO
ARAGIANNIS TRAVEL|||||2, Petmeza Street, 117 42 Athens Tel (210) 9249660-1, Fax (210) 9232522 Owner/Manager: George Aragiannis 
ARGENDAKIS TRAVEL TOURISM|||||4, Dimitrakopoulou Street, 117 42 Athens Tel (210) 9247922, Tel/Fax (210) 9210649 Owner: Ms M. Argendakis, GDS: Galileo 
ARGONAUT TRAVEL & TOURISTIC LTD- A.T.T|||||48, Amalias Ave., 105 58 Athens, opposite Olympian Zeus Columns Tel (210) 3232256, 3230337, 3237363, 3235482, Fax (210) 3244054, 3237364 Owner: Argonaut Travel & Touristic Ltd, Vat Reg No: 095702148, DOY: D’ ATHINON Managing Director: Marios Tsiligiris, Incoming Tourism Supervisor: Maria Nikolaidis Accounting Dept.: Neoklis Zafirakopoulos Member of: HATTA, GITO, GDS: Amadeus 
ARGO TRAVEL & TOURISM A.T.T.|||||10, Xenofondos Street, 105 57 Athens Tel 211 180 3000, Fax 211 180 3180 Owner/Manager: Dimitrios Pythis Branch offices in: Piraeus, Thessaloniki, Geneva, Glasgow, London Member of: IATA (code 27-2 1840), ASTA, HATTA, UFTAA/FUAAV GDS: Galileo, Amadeus, Sabre 
ARISTOTLE TRAVEL Ltd|||||6, Lazaraki Atreet, 166 75 Glyfada Tel (210) 8941417, Fax (210) 8943704, 9680560 Manager & Travel consultant: Christian J. Nicolaides Member of: ASTA, HATTA, RCMA, WRTA E-mail: aristotle@hol.gr 
ARTY TOURS|||||19, Syngrou Avenue, 117 43 Athens Tel (210) 9235149, 9219791, 9213337, Fax (210) 9213332 Owners/Managers: Petros Fotiadis, Giorgos Klemente Reservations Supervisor: Ms Monika Sandalis Member of: HATTA 
ATHENAEUM TRAVEL|||||87, Dinokratous Street, 115 21 Athens Tel (210) 7250491-2, Fax (210) 7226269 Owner: Ek. Katsargiri Ltd. Member: of: HATTA GDS: Sabre 
ATHENS COSMOPOLITAN TRAVEL SERVICE|||||10, Stadiou Street, 105 64 Athens Tel (210) 3252374-6, 3230500-2, Fax (210) 3239593, 3235294 Owner/Manager: N. Perdikakis Branch offices in: Canada, USA Member of: IATA (code 27-2 4181), GDS: Worldspan 
ATHENS EXPRESS S.A.|||||18, Ermou Street, 105 63 Athens Tel (210) 3316851, Fax (210) 3316854-5 Owner: Athens Express S.A., Vat Reg No: 094187969, DOY: FAEE ATHINON Manager: George Kataras Additional Managers: Gloria Garcia, Tel: 210-3316851 ext 28 E-mail: gloria.garcia@athens-express.gr Virginia Bruno, Tel: 210-3316851 ext 15 E-mail: virginia.bruno@athens-express.gr Member of: ASTA, HATTA E-mail: info@athens-express.gr Web Site: www.athens-express.gr 
ATHENS SILK ROAD INTERNATIONAL TRAVEL (GREECE)|||||36, Mitropoleos Street, 105 63 Athens Tel 210-3310036, 3310037, Fax 210-3310069 E-mail: silkroaa@otenet.gr,  chinatours@chiatours.gr Web sites: www.chinatours.gr, www.2008hotels.com.cn 
ATHENS TRAVEL SERVICES|||||22, Alopekis Street, 106 75 Athens, Tel (210) 7257662-3, Fax (210) 7292991 Owners/Managers: Ms Chrissoula Vakali, Ms Gogo Andriopoulou Member of: IATA (code 27-2 9225), HATTA, PETAGA 
ATHLOS TRAVEL|||||79-81, Sokratous Street, 104 32 Athens, Tel (210) 5239945,  Fax: 210-5239042 Member of: IATA (code 27-2 1226) 
ATHOS CITY|||||6, Zalokosta St., 106 71 Athens, Tel (210) 3628581, Fax (210) 36280708 Member of: IATA (code 27-2 1155) 
A.T.I. TRAVEL Ltd|||||26A, Nikis Street, 105 63 Athens Tel (210) 3242049, 3242085, 3246464, Fax (210) 3245947 Owner/ Manager: Vincenzo Angelilli Vat Reg No: 027640537, DOY: D’ ATHINON Member of: IATA (code 27-0 0102), GDS: Worldspan 
ATLANTIS TRAVEL AND TOURISM AGENCY|||||5, Patission Street & 9, Omonias Sq., 104 31 Athens Tel (210) 5202700, Fax (210) 5201037 Manager: Solon Benardout Member of: IATA (code 27-2 1842), PAT 
ATLAS TRAVEL|||||12, Omonia Square, 104 31 Athens Tel (210) 3212620, 3219438, 3241338, Fax (210) 3215895 Owner/Manager: J. Kontopoulos Member of: HATTA 
AUSTRALIAN TRAVEL|||||41, D. Soutsou Street, 115 21 Athens, Tel (210) 6444264, 6431971-2, Fax (210) 6462073 Owner/Manager: J. Kereres Member of: HATTA, IATA (code 27-2 1095), GDS: Galileo 
AVIATIC TRAVEL|||||32, Ippokratous Street, 106 80 Athens Tel (210) 3622084, 3617293, Fax (210) 3616410 Owner/Manager: Ms Marianthi Adamidou 
AV TOURS – A. VLACHOS|||||39, Voulis Street, 105 57 Athens Tel (210) 3255352, 3236980, Fax (210) 3235784 VAT 095241991, D’ ATHENS Owner/Manager: Apostolos Vlachos, Member of: HATTA 
AXOS TOURS|||||2, Kipselis Sq., 113 61 Athens, Tel (210) 8627291, 8611454, 8611223, Fax (210) 8623201 Owner/Manager: A. Kamaritis Member of: IATA (code 27-2 1225) GDS: Galileo 
AZUR VOYAGES Ltd.|||||69-71, Souidias Street, 115 21 Athens Tel (210) 7238048, 7238051, Fax (210) 7234647 Manager: Mrs Jos. Kazani 
BANK TRAVEL Ltd.|||||17, Asklipiou St., 106 80 Athens Tel (210) 3646581-4, Fax (210) 3600367 Owner/Manager: G. Mitsotakis Member of: HATTA 
BCD TRAVEL|||||Member of Amphitrion Group of Companies 46, Kyprou & Ploutonos, 172 36 Dafni , Greece Tel 2130181000,  Fax 2130181099 RegCo BCD Travel Greece, VAT 997798420 (FAE ATHENS) President & Managing Director Dinos Mitsiou Member of the board Yiannis Mitsiou Operation Manager: Stelios Dimitriou Member of the Board: G. Jongeneel Accounting Manager: Vasso Karatzeni 
BE TO BE TRAVEL & EVENT MANAGEMENT S.A.|||||3, Bakopoulou Street, 154 51 N. Psyhiko Tel (210) 6747189, Fax (210) 6747445 VAT 095570252 (A’ Athens), NTOG licence: 02295 Owner: Be to Be Travel and Event Management S.A. Manager: Kostas Babas Member of: HATTA 
BELLAIR TRAVEL & TOURISM Ltd|||||2, Michalakopoulou Avenue, 115 28 Athens Tel (210) 3237593, 3239261-2, 3216136, Fax (210) 3229174 Manager: Mrs J. Menenakou Member of: ASTA, HATTA E-mail: bellair@otenet.gr, Web site: greecebellair.gr 
BENLETONI TOURS Ltd.|||||Head Office: 7-9, Tideos, 116 35 Pagrati, Athens Tel (210) 7010629, Fax (210) 7010627 Member of: HATTA, ASTA, IATA (code 27-2 1221) E-mail: benletoni@ath.forthnet.gr, venostravel@vivodinet.gr Web site: www.benletoni-tours.gr Owner/Manager: Veniamin Papadopoulos Branch Office: 12, Damareos Street, 161 21 Kaisariani Tel (210) 7568055, Fax (210) 7565058 
BETIS TRAVEL TOURISM & TRAVEL BUREAU|||||23, Falirou Street, 117 42 Athens, 5th floor Tel (210) 3255081-4, Fax (210) 3255085 Owner: P. Betis, General Manager: Pan. Betis Member of: ASTA, AYTOB, BITEJ, DRV, HATTA GDS: Amadeus 
BON TRAVEL|||||54, Nikis Street, 105 58 Athens Tel (210) 3222100, 3228284, Fax (210) 3224601, Tlx 215163 Owner/Manager: P. Bonatsos 
BOSS TRAVEL|||||Kyprion Agoniston & 2, Vrilission Sts, 151 26  Amaroussio Tel (210) 6104403, 6198269, Fax (210) 6197990 Owner/Manager: Mrs Efi Tritsini & Co Member of: IATA (code 27-2 1059), HATTA 
BOUNTY TRAVEL|||||59, El. Venizelou Street, 146 71 N. Erythrea Tel (210) 6202824,  Fax (210) 6202817 Owner/Manager: Ms Ageliki Kourti GDS: Galileo 
BOUTROS TOURS|||||9, Anth. Gazi, 105 61 Athens, Tel (210) 3248171-3, Fax (210) 3248184 Manager: Emad Boutros Member of: IATA (code 27-2 1237), HATTA GDS: Galileo, Sabre 
B. P. TRAVEL SERVICE Ltd.|||||9a, Apollonos St., 105 57 Athens Tel (210) 3232660, 3235929, 3239788-9, Fax (210) 3255297 Owner/Manager: Ms T. Koufou –  I. Katsigiannis Member of: IATA (code 27-0 0777), ASTA, HATTA GDS: Worldspan, Sabre 
BRASILIA TRAVEL & TOURISM|||||34, I. Metaxa Street, 166 74 Glyfada Tel (210) 8942817, 8943833, 8946885, Fax (210) 8943066 Owner/Manager: V. Lazaris, Reservations Supervisor: A. Lazaris Acc. Supervisor: V. Lazaris Member of: IATA (code 27-0 0090), HATTA, ASTA, GDS: Worldspan 
BRAVO TRAVEL|||||13, Alsous Street, 166 75 Glyfada Tel (210) 8986172, Fax (210) 8986173 Owner/Manager: Mrs Maria Lampropoulou Reservation Department: Mrs Anastasia Konstantinidou, Mrs Konstantina Kei Member of: IATA (code 27-0 0633), HATTA 
BURRAQ TRAVEL & TOURS|||||75, Menandrou Street, 104 37 Athens Tel (210) 5223232, Fax (210) 5200203 Manager: Dionysios Vasiliadis Member of: HATTA 
BYZANTINE TRAVEL|||||48a, Sokratous Street, Omonia, 104 31 Athens Tel (210) 5234850, 5233341,  Fax (210) 5234641 VAT 095570252 (A’ Athens), NTOG licence: 02295 Owner: Byzantine Travel Ltd, General Manager: Athanassios Makris Office Manager: Martine Schenker Member of: HATTA, GDS: Sabre, Amadeus 
CALODOUCAS TRAVEL|||||18, Voulis St., 105 63 Athens, Tel (210) 3231430-33, Fax (210) 3236446 Owner/Manager: Mrs Anna Calodouca Member of: HATTA. GDS: Galileo, Worldspan, Amadeus 
CAPITAL TRAVEL|||||18, Ermou Street, 105 63 Athens, Tel 2103228591, Fax 2103228598 Manager: Ms Maria Makri Member of: HATTA 
CAPTAIN NEMO|||||3, Gladstonos St., 106 77 Athens Tel (210) 3303959, Fax (210) 3303648 Owner: Mrs Athanassia Karakonstanti-Spyratou Manager: Panagiotis Mattes Member of: HATTA 
CARLSON WAGONLIT TRAVEL|||||Athens Head office: 204, Messoghion Ave, 155 61 Athens, Tel (210) 6509400, Fax (210) 6511712, VAT 098109280, FAE ATHENS Deputy Country General Manager: Makis Benetatos Traveler Services Director: Nikolaos Christofidis CWT Meetings & Events Director Michalis Kanakis Financial Controller: George Patergiannakis Member of: IATA (code 27-2 1880), HATTA, SETE, PETAGA On line with: Galileo E-mail: info@carlsonwagonlit.gr Website: www.carlsonwagonlit.gr Branch office in Athens: 91, Vas. Sofias Ave, 109 60 Athens Tel (210) 7202166, Fax (210) 7258259 Manager: Mr F. Koukios Member of: IATA (code 27-2 0116), HATTA, SETE All Travel and tourism arrangements 
C. & C. INTERNATIONAL S.A.|||||1A, Pierias Street, 144 51 Metamorfossi Tel (210)6889100, Fax (210) 6844777 Owner/Manager: Mrs A. Vatsika Member of: HATTA, IATA (code 27-2 1036) 
CEL TOURS|||||Omirou & 45, Solonos Cnr, Kolonaki, 106 72 Athens Tel (210) 3631700, 3647843, 3629082 Fax (210) 3610924 Owner/Manager: Ms Maria Souli GDS: Sabre, Amadeus
CHAMPION TRAVEL OF ATHENS|||||25, Patission Street, 104 32 Athens Tel (210) 5234751-2, 5234777, Fax (210) 5235032 Owner: Konstantinos Christodoulou Manager: Ms Barbara Christodoulou Ticketing: Mrs Eleni Vlataki, Mrs Mona Daniil Member of: HATTA, IATA (code 27-2 1016), GDS: Amadeus
C. H. A. T. TOURS Ltd.|||||9, Xenofontos Street, 105 57 Athens Tel (210) 3223137, 3222886, 3230827, 3237431, Fax (210) 3231200 Owner: Constantine Coulouvatos, Manager: A. Loukarellis E-mail: chat@chatours.gr, Web site: www.chatours.gr see additional information on organized tours 
CHIOTIS TRAVEL|||||356, Messoghion Avenue & 2, Ipirou Streets, 153 41 Agia Paraskevi Tel (210) 6511996, Fax (210) 6560881-2 Owner/Manager: John I. Chiotis S.A. Member of: IATA (code 27-2 1138), GDS: Sabre 
CHINA TOURS|||||38, 28th October Street, 157 72 Ano Ilisia Tel (210) 7758450, Fax (210) 7794068 Owner: Miss Rong Hui Zhang, Manager: Petros Chang 
CHRISSOT TRAVEL AGENCY|||||35, Filolaou Street, 116 33 Pangrati Tel (210) 7525544, Fax: 210-7525545 Manager: George Kalfoglou Member of: IATA (code 27-0 0819) 
CHRISTIANAKIS TRAVEL LTD|||||3, Stadiou Street, Syntagma Sq., 105 62 Athens Tel (210) 3221483, 3221484, Fax (210) 3221486, Owner/Manager: Marios Christianakis, VAT 099323281, D’ Athens Operator Manager: D. Christianakis Member of: HATTA Branch office: 72A, Fok. Negri Street, 113 61 Athens, Tel (210) 8814183, 8813186, Fax (210) 8813244 E-mail: christianakis@travelling.gr Web site: www.christianakis.gr 
CICADA TRAVEL|||||5, Xenias Street, 115 27 Athens Tel (210) 7483051, Fax (210) 7483056 Manager: Maria Andronopoulou Member of: HATTA 
CIRCLE TRAVEL SERVICES Ltd|||||23, Nikis Street, 105 57 Athens Tel (210) 3225175, 3225802, Fax  (210) 3229933 Manager: George Kalabalikis Incoming  Dept.: Mrs M. Kambani, N. Kalabalikis Sales: N. Kalabalikis, Coaches Dept.: K. Kyrkos Member of: HATTA, IATA (code 27-2 1159) 
